,min,max
clock_frequency_mhz,10.0,1000.0
toggle_rate,0.05,0.95
static_probability,0.05,0.95
cell_count,0.0,9716.0
comb_cell_count,0.0,9716.0
seq_cell_count,0.0,4.0
inv_count,0.0,533.0
buf_count,0.0,767.0
nand_count,0.0,7698.0
nor_count,0.0,752.0
xor_count,0.0,0.0
mux_count,0.0,627.0
other_count,0.0,1288.0
total_area,0.0,258.439098
avg_cell_area,0.0,0.124992
num_nets,0.0,9981.0
num_inputs,0.0,265.0
num_outputs,0.0,256.0
max_fanout,0.0,13461.0
avg_fanout,0.0,1042.44297719
avg_fanin,0.0,3.0
logic_depth,0.0,492.0
depth_mean,0.0,474.0
depth_std,0.0,34.1783557241
depth_max,0.0,492.0
critical_path_delay,0.0,23.93
wns,0.0,10.0
tns,0.0,0.0
avg_net_toggle,0.0,0.966140714286
toggle_attenuation,0.0,4.34216703557
dynamic_power_uW,0.0,2550.7
leakage_power_uW,0.0,471.1812
total_power_uW,0.0,2595.5287
vdd,0.54,0.825
temperature,25.0,125.0
