design_name,clock_frequency_mhz,toggle_rate,static_probability,cell_count,seq_cell_count,total_area,logic_depth,dynamic_power,leakage_power,power_units,vdd,temperature,process,pvt_corner
full_half_add_1bit,10,0.10,0.10,11,0,0.137088,4,724.5731,448.9404,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.10,0.37,11,0,0.137088,4,724.1326,541.2358,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.10,0.63,11,0,0.137088,4,723.7084,638.6167,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.10,0.90,11,0,0.137088,4,723.2679,748.5741,nW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.37,0.10,11,0,0.137088,4,2.6482,448.9404,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.37,0.37,11,0,0.137088,4,2.6466,541.2358,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.37,0.63,11,0,0.137088,4,2.6450,638.6167,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.37,0.90,11,0,0.137088,4,2.6434,748.5741,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.63,0.10,11,0,0.137088,4,4.5006,448.9404,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.63,0.37,11,0,0.137088,4,4.4979,541.2358,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.63,0.63,11,0,0.137088,4,4.4952,638.6167,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.63,0.90,11,0,0.137088,4,4.4924,748.5741,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
full_half_add_1bit,10,0.90,0.10,11,0,0.137088,4,6.4243,448.9404,uW/pW,0.60,25,TT,saed05rvt_base_tt0p60v25c
