design_name,clock_frequency_mhz,toggle_rate,static_probability,cell_count,seq_cell_count,total_area,logic_depth,dynamic_power,leakage_power,power_units,vdd,temperature,process,pvt_corner
adder_12bit,10,0.1,0.5,132,0,1.645056,52,8.7210,6.4352,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.5,0.5,132,0,1.645056,52,42.2655,6.4352,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.3,0.5,132,0,1.645056,52,25.4936,6.4352,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.8,0.5,132,0,1.645056,52,67.4231,6.4352,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.5,0.3,132,0,1.645056,52,42.2195,6.2167,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,10,0.5,0.7,132,0,1.645056,52,42.2073,7.4987,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,50,0.1,0.5,132,0,1.645056,52,10.0476,6.4352,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,50,0.5,0.5,132,0,1.645056,52,43.6051,6.4352,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,50,0.3,0.5,132,0,1.645056,52,26.8299,6.4352,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,50,0.8,0.5,132,0,1.645056,52,68.7650,6.4352,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,50,0.5,0.3,132,0,1.645056,52,43.3538,6.2167,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,50,0.5,0.7,132,0,1.645056,52,43.3402,7.4987,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,100,0.1,0.5,132,0,1.645056,52,10.2511,7.3425,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,100,0.5,0.5,132,0,1.645056,52,44.2141,7.0335,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,100,0.3,0.5,132,0,1.645056,52,27.4446,7.0335,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,100,0.8,0.5,132,0,1.645056,52,69.3704,7.0335,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,100,0.5,0.3,132,0,1.645056,52,44.2113,6.4229,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,100,0.5,0.7,132,0,1.645056,52,44.2046,7.7008,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,200,0.1,0.5,132,0,1.645056,52,10.9184,7.3431,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,200,0.5,0.5,132,0,1.645056,52,46.2693,7.0370,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,200,0.3,0.5,132,0,1.645056,52,28.7208,7.3408,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,200,0.8,0.5,132,0,1.645056,52,71.4227,7.0370,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,200,0.5,0.3,132,0,1.645056,52,46.2458,6.4259,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,200,0.5,0.7,132,0,1.645056,52,46.2500,7.7077,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,300,0.1,0.5,132,0,1.645056,52,11.2710,7.3435,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,300,0.5,0.5,132,0,1.645056,52,47.2290,7.3404,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,300,0.3,0.5,132,0,1.645056,52,29.3955,7.3419,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,300,0.8,0.5,132,0,1.645056,52,73.4333,7.0359,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,300,0.5,0.3,132,0,1.645056,52,46.5992,7.0302,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,300,0.5,0.7,132,0,1.645056,52,47.2995,7.7192,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,450,0.1,0.5,132,0,1.645056,52,11.5850,7.3458,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,450,0.5,0.5,132,0,1.645056,52,48.1470,7.3411,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,450,0.3,0.5,132,0,1.645056,52,29.9702,7.3444,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,450,0.8,0.5,132,0,1.645056,52,75.0104,7.3426,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,450,0.5,0.3,132,0,1.645056,52,47.4945,7.2027,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,450,0.5,0.7,132,0,1.645056,52,48.7331,7.5657,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,600,0.1,0.5,132,0,1.645056,52,11.7531,7.3377,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,600,0.5,0.5,132,0,1.645056,52,48.6608,7.3436,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,600,0.3,0.5,132,0,1.645056,52,30.2857,7.3462,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,600,0.8,0.5,132,0,1.645056,52,75.9106,7.3436,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,600,0.5,0.3,132,0,1.645056,52,47.9971,7.2042,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,600,0.5,0.7,132,0,1.645056,52,49.2668,7.5652,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
adder_12bit,750,0.1,0.5,132,0,1.645056,52,11.8517,7.3435,uW/nW,0.60,25,TT,saed05rvt_base_tt0p60v25c
